id_cliente,id_sku,num_pedidos,volumepedidos,volumecompras
3,12999,9,353.86,
3,1300,1,4.28,
3,13003,6,235.0,
3,13005,113,10040.05,
3,13007,17,2028.9,
3,13008,5,317.0,
3,13014,2,7.64,
3,13017,17,885.45,447.1296
3,13018,20,1084.14,1050.1404
3,13019,3,717.12,
3,13020,89,624.76,245.09
3,13021,142,2685.1048,231.8612
3,13022,41,1427.03,
3,13023,96,1801.3732,236.4908
3,13024,3,81.72,
3,13025,7,271.68,
3,13031,30,417.29,52.99
3,13032,7,238.56,
3,13033,1,63.6,
3,13048,3,120.0024,
3,1305,1,3.06,
3,13071,3,77.256,
3,13082,84,926.32,182.63
3,13083,13,89.32,89.32
3,13104,3,153.0,
3,13107,3,176.4,
3,13110,7,120.45,113.58
3,13119,2,259.35,259.35
3,13162,1,19.9,
3,13174,1,23.9,
3,13206,11,1573.3,515
3,13222,2,670.71,
3,13232,1,209.896,
3,13247,2,122.4,
3,13248,19,1512.0198,1439.8998
3,13249,40,1844.57,1723.93
3,13261,6,284.04,
3,13262,1,236.76,
3,13278,53,1955.2604,830.1092
3,13279,25,2146.89,155.3
3,13289,3,751.5,225
3,13291,3,1177.34,
3,13294,1,113.7897,
3,13307,14,5320.0,
3,13309,22,2733.52,2625.61
3,13312,7,647.8392,332.2392
3,13317,1,86.4,
3,13320,4,879.5,496
3,13337,36,302.2073,
3,13360,1,360.0,360
3,13381,2,57.8,
3,13382,7,1127.3,
3,13383,1,598.8,
3,13385,1,478.8,
3,13392,1,60.0,
3,13406,1,11.5,
3,13409,1,272.5,
3,13422,1,20.8,
3,13428,8,140.8,
3,13442,1,25.0,
3,13445,1,17.2,
3,13447,23,1815.35,121.5
3,13468,1,30.8,
3,13515,2,755.0,
3,13520,3,756.5,
3,13620,6,1456.5,
3,13643,12,3033.6,
3,13657,2,745.0,
3,13665,2,158.4,
3,13671,2,760.0,
3,13700,2,775.0,
3,13728,43,2206.1,
3,13760,2,90.0,
3,13761,1,425.0,
3,13763,1,3.79,
3,13765,22,293.22,24.45
3,13780,1,33.65,
3,13814,126,24848.6,12242.1
3,13816,25,2378.286,327.9702
3,13819,17,1385.0,53.81
3,13822,9,1248.0,312
3,13823,34,2061.88,15.95
3,13825,10,218.52,18.54
3,13828,34,508.6814,27.69
3,13830,11,499.55,
3,13833,1,106.25,
3,13834,20,1702.62,73.95
3,1384,10,90.0,9
3,13852,2,38.86,10.42
3,13854,14,1136.0784,167.94
