id_cliente,categoria_nivel3,num_pedidos,volumepedidos,volumecompras
3,681,60,2434.47,272.68
3,682,66,12814.37,946.87
3,683,98,15099.81,4319.9
3,684,13,7501.0,1119.2
3,686,54,13604.66,1902.9
3,687,70,4922.04,1253.7
3,690,1,26.9,
3,691,18,5742.6,758.8
3,696,23,4527.9,180
3,699,134,72650.3,15668.5
3,700,1,131.6,
3,701,166,39255.7,7693.3
3,703,437,31755.54,7542.72
3,704,7,913.27,
3,705,107,5388.23,1326.91
3,706,212,12316.78,1028.41
3,707,172,24435.8475,9497.4747
3,708,31,221.59,
3,710,66,672.86,59.29
3,711,2,115.79,
3,712,47,1944.19,116.76
3,713,48,2548.07,38.22
3,714,128,2609.3,560.39
3,716,8,431.48,
3,717,10,328.15,
3,718,51,1862.37,584.64
3,719,76,1347.19,292.93
3,720,201,132606.51,53214.96
3,724,115,29334.25,4422.05
3,725,2,86.49,
3,728,217,4143.93,1009.3
3,729,37,217.88,73.08
3,733,11,28.05,
3,734,232,4787.69,1751.44
3,735,4,228.7,
3,736,331,29288.26,5154.3
3,737,222,21833.53,5423.41
3,738,8,80.92,
3,739,48,2444.36,31.58
3,741,70,12216.7,5148.2
3,742,42,8012.43,97.1
3,743,95,8501.98000000001,416.0
3,744,8,3485.76,
5,74,2,403.98,
5,84,2,437.64,
5,117,1,152.64,152.64
5,145,1,20.0,
5,216,1,23.3,23.3
5,234,1,64.4598,64.4598
5,237,1,98.4096,98.4096
5,314,1,118.44,118.44
5,391,1,5.22,5.22
5,397,2,130.5,130.5
5,402,3,63.39,13.29
5,404,1,16.14,16.14
5,409,2,80.2,13.5
5,416,2,83.59,45.36
5,417,3,71.98,27.91
5,508,2,51.1492,51.1492
5,651,1,31.4,31.4
5,652,2,628.5,268.5
5,666,1,315.0,
5,667,1,415.0,415
5,668,2,214.2,
5,669,2,665.5,665.5
5,674,1,795.0,
5,680,2,246.4,246.4
11,62,2,7921.35,
11,195,1,89.4,
12,69,1,99.33,
12,70,1,74.88,
12,108,1,465.6,
12,652,2,736.8,
12,720,2,714.44,
19,62,10,1067.7496,1036.5296
19,85,1,32.1,
19,117,2,104.07,
19,119,1,215.4,215.4
19,122,1,31.2,
19,124,1,93.1,
19,137,1,238.5,238.5
19,138,1,75.6,
19,140,1,80.0,
19,148,1,106.02,
19,170,2,120.96,
19,185,1,53.5,
19,202,1,13.6,
19,233,1,5.4,
19,235,2,26.26,
19,237,1,49.07,
19,254,1,14.76,
19,389,1,16.14,
19,399,1,15.97,
19,409,1,11.3,
19,417,2,33.9,
19,516,1,3.0,
19,644,1,1.1,
19,649,1,17.6,
19,652,19,9564.85,7579.85
19,654,15,3077.2,2283.0
19,658,3,286.2,190.8
19,659,7,803.92,713.09
19,660,4,1132.02,763.02
19,664,1,87.0,87
19,667,1,500.0,500
19,668,3,559.8,559.8
19,669,7,3732.5,2140.0
19,670,1,218.0,218
19,671,3,999.75,999.75
19,675,3,869.0,869.0
19,677,1,390.0,390
19,680,3,671.64,671.64
19,682,5,1593.2,1593.2
19,683,1,178.0,178
19,685,1,99.5,
19,686,3,591.9,279
19,687,4,1155.0,585.2
19,699,1,152.6,152.6
19,703,8,1557.12,504.1
19,704,1,135.0,135
19,713,1,28.2,
19,717,1,19.75,
19,724,3,963.0,963
19,734,1,25.2,25.2
19,736,2,457.7,396
19,741,1,136.8,136.8
49,191,1,4.85,
49,223,1,77.2,
49,664,1,907.2,
49,687,2,340.2,
51,52,3,214.17,
51,62,2,190.8,
51,89,1,593.28,
51,124,1,33.115,
51,145,1,16.0,
51,158,2,412.5,
51,236,1,229.0,
51,237,1,191.52,
51,240,1,1270.0,
51,254,1,10.25,
51,508,1,162.0,
51,652,2,151.75,
