id_cliente,pedidos_efetivos,max_pedido,min_pedido,tk_med_pedido,desvio_padrao_pedido,tk_ano,pedidos_ano,data_cadastro,data_ult_pedido,frequencia_med,frequencia_std,recencia_max,18,46,54,58,65,99,147,255,325,378
4910,7.0,1664.4000244140625,214.52000427246094,711.0291748046875,503.4949645996094,3475.9537248483807,4.888623326959847,523.0,448.0,1.9254622749967245,5.677055007630313,26.490665454108797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
939500,7.0,875.429443359375,201.0102996826172,461.4629821777344,230.246337890625,10441.110735597864,22.626106194690266,113.0,10.0,13.97370737775463,18.16546502276536,47.99676883251158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
281,7.0,1171.099853515625,309.15008544921875,644.9031372070312,304.3504638671875,4327.706113319698,6.7106299212598435,381.0,191.0,31.457027410079085,60.82420777064363,155.22230102282407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5615,7.0,1446.239013671875,212.7100067138672,598.1776123046875,414.17041015625,3632.7562644396717,6.073040380047506,421.0,50.0,40.414803223953186,103.61111882265484,316.2381415283565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1254,7.0,1180.0,393.0,761.0857543945312,298.0557861328125,1837.493801387106,2.4143059490084986,1059.0,1058.0,0.07033118483465278,0.252431369668831,0.9473662450231481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,7.0,992.7960205078125,280.5,643.3177490234375,292.1009826660156,2116.8630762284324,3.2905405405405403,777.0,717.0,7.461435063004919,9.950783679536157,28.046213540185185,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1321995,7.0,1367.227294921875,221.9497528076172,628.9790649414062,384.17913818359375,28716.82583182199,45.65625000000001,56.0,8.0,5.9548297897164355,9.578806675479953,21.941729949988424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1302483,7.0,2118.43896484375,733.3200073242188,1382.404541015625,457.7674255371094,60939.015507139,44.081896551724135,58.0,8.0,4.5391355753398495,5.175191615209653,15.835954404814816,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14222,7.0,659.8099975585938,204.1999969482422,348.5413513183594,156.68661499023438,2441.4606395146616,7.004794520547945,365.0,357.0,0.44387532817245373,1.289000919366007,5.42968833443287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1256,7.0,3600.0,270.0,1662.300048828125,1277.51904296875,4040.0051162777745,2.43037072243346,1052.0,1042.0,0.624000115474537,1.3855356451619096,5.305113089641203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
