UF  1.ª Habilitação,Sexo,Faixa Etária,Categoria,2015,2016,2017,2018,2019
São Paulo,Feminino,63 a 70,AD-Condutor Moto/Ônibus,1,,,,
São Paulo,Feminino,64 a 70,B-Condutor Carro,"2,459","1,496","1,331","1,315",664
São Paulo,Feminino,65 a 70,X-Condutor Ciclomotor,,,1,,
São Paulo,Feminino,71 a 80,A-Condutor Moto,2,1,,1,
São Paulo,Feminino,72 a 80,AB-Condutor Moto/Carro,,,1,1,
São Paulo,Feminino,73 a 80,B-Condutor Carro,167,90,97,72,23
São Paulo,Feminino,81 a 90,B-Condutor Carro,5,3,2,3,1
São Paulo,Feminino,91 a 100,B-Condutor Carro,,1,,,1
São Paulo,Feminino,101 a 120,A-Condutor Moto,,,,,1
São Paulo,Feminino,102 a 120,B-Condutor Carro,,,1,,
