Data,Precipitacao,TempMinima,TempMaxima
02/03/2005,0.0,18.0,23.5
02/03/2006,65.4,20.3,31.6
02/03/2007,0.0,20.5,32.3
02/03/2008,5.4,20.3,29.9
02/03/2009,0.0,22.8,33.6
02/03/2010,7.0,16.2,21.9
02/03/2011,15.0,17.3,21.4
02/03/2012,0.0,21.9,32.3
02/03/2013,0.0,18.9,29.2
02/03/2014,9.0,19.1,27.6
02/03/2015,0.0,17.2,29.2
02/03/2016,19.4,17.2,24.3
02/03/2017,0.0,21.4,28.7
02/03/2018,0.5,21.3,31.4
02/03/2019,2.4,19.6,28.0
02/04/2000,0.1,17.9,22.0
02/04/2001,27.6,18.1,23.8
02/04/2002,0.0,22.4,31.7
02/04/2003,0.0,17.0,27.8
02/04/2004,0.0,18.2,29.4
02/04/2005,0.0,20.6,30.8
02/04/2006,0.0,18.2,25.3
02/04/2007,0.0,20.7,32.3
02/04/2008,0.0,17.5,28.5
02/04/2009,0.0,18.0,27.1
02/04/2010,0.0,18.9,28.1
02/04/2011,0.0,19.1,29.8
02/04/2012,0.0,17.7,27.6
02/04/2013,0.0,19.7,0.0
02/04/2014,0.0,20.1,27.1
02/04/2015,0.0,18.2,26.2
02/04/2016,0.0,18.5,29.7
02/04/2017,0.6,15.9,25.2
02/04/2018,2.2,20.0,26.0
02/04/2019,0.0,17.5,29.1
02/05/2000,0.0,19.7,29.5
02/05/2001,0.0,19.0,30.7
02/05/2002,0.0,18.8,28.7
02/05/2003,0.5,16.2,25.6
02/05/2004,0.0,15.9,27.7
02/05/2005,1.1,13.8,20.5
02/05/2006,0.0,15.8,23.1
02/05/2007,0.0,12.7,28.0
02/05/2008,9.0,14.8,17.3
02/05/2009,0.0,16.0,0.0
02/05/2010,0.0,14.4,26.7
02/05/2011,18.6,16.3,21.1
02/05/2012,0.0,10.5,20.0
02/05/2013,0.0,17.6,0.0
02/05/2014,0.0,16.3,26.4
02/05/2015,0.0,14.7,26.4
02/05/2016,0.0,10.0,24.2
02/05/2017,0.0,16.1,23.4
02/05/2018,0.0,18.0,27.5
02/05/2019,0.0,19.3,28.2
02/06/2000,0.0,12.4,20.4
02/06/2001,0.0,16.6,27.6
02/06/2002,0.0,17.2,26.8
02/06/2003,0.0,14.2,26.9
02/06/2004,0.0,14.5,20.9
02/06/2005,0.0,17.5,25.9
02/06/2006,0.0,13.6,21.7
02/06/2007,11.4,14.2,21.9
02/06/2008,1.6,12.4,18.1
02/06/2009,0.0,8.2,16.1
02/06/2010,0.0,12.4,20.6
02/06/2011,0.0,11.0,22.6
02/06/2012,4.0,16.2,24.7
02/06/2013,0.0,15.7,20.8
02/06/2014,0.0,14.0,20.8
02/06/2015,0.5,15.0,17.5
02/06/2016,22.0,14.8,23.4
02/06/2017,0.0,12.0,21.2
02/06/2018,0.0,16.3,25.3
02/06/2019,11.0,17.7,21.1
02/07/2000,0.0,11.6,27.8
02/07/2001,0.0,10.4,26.3
02/07/2002,0.0,15.8,23.5
02/07/2003,0.0,11.9,24.5
02/07/2004,0.0,15.3,26.4
02/07/2005,0.0,14.7,26.7
02/07/2006,1.0,13.2,18.3
02/07/2007,0.0,11.4,23.6
02/07/2008,0.0,14.6,21.7
02/07/2009,0.4,14.9,21.1
02/07/2010,0.0,10.9,24.8
02/07/2011,0.0,15.0,22.4
02/07/2012,0.0,14.3,26.7
02/07/2013,20.5,13.0,16.2
02/07/2014,0.0,12.0,26.6
02/07/2015,1.6,15.1,19.9
02/07/2016,0.0,14.1,26.4
02/07/2017,0.0,12.2,16.7
02/07/2018,0.0,14.9,27.3
02/07/2019,0.0,16.6,25.3
02/08/2000,0.0,13.3,26.7
02/08/2001,0.0,12.5,26.1
02/08/2002,25.4,14.4,19.2
02/08/2003,0.0,14.7,24.3
02/08/2004,0.0,10.4,24.1
02/08/2005,0.0,13.4,27.0
02/08/2006,0.2,13.2,16.5
02/08/2007,0.0,14.9,25.8
02/08/2008,0.0,16.3,24.3
02/08/2009,0.0,14.1,27.4
02/08/2010,0.0,14.6,18.2
02/08/2011,0.6,15.2,22.4
02/08/2012,0.0,13.8,26.3
02/08/2013,0.0,13.2,27.4
02/08/2014,0.0,14.9,27.1
02/08/2015,0.0,13.8,26.3
02/08/2016,0.0,13.7,21.4
02/08/2017,0.0,15.0,25.2
02/08/2018,5.0,12.4,17.1
02/08/2019,0.0,13.4,29.1
02/09/2000,39.4,12.1,14.5
02/09/2001,0.0,17.5,29.3
02/09/2002,0.0,8.6,17.3
02/09/2003,0.0,13.1,20.0
02/09/2004,0.0,14.7,32.0
02/09/2005,37.2,17.3,23.1
02/09/2006,37.6,14.1,24.8
02/09/2007,0.0,15.4,30.3
02/09/2008,0.0,11.9,29.5
02/09/2009,0.0,17.9,32.0
02/09/2010,0.0,16.2,30.8
02/09/2011,0.0,8.5,18.3
02/09/2012,0.0,13.7,30.7
02/09/2013,0.0,15.1,30.5
02/09/2014,0.0,16.1,30.1
02/09/2015,0.4,14.1,20.2
02/09/2016,0.0,13.3,25.0
02/09/2017,0.0,14.6,25.3
02/09/2018,0.0,16.3,31.4
02/09/2019,38.2,15.2,19.6
02/10/2000,0.0,14.3,30.1
02/10/2001,70.2,16.7,25.3
02/10/2002,6.1,15.6,25.3
02/10/2003,0.0,13.2,29.1
02/10/2004,0.0,15.3,24.7
02/10/2005,1.9,16.4,19.1
02/10/2006,6.4,17.4,26.7
02/10/2007,0.0,14.3,25.5
02/10/2008,43.2,16.7,24.1
02/10/2009,0.0,15.9,30.7
02/10/2010,11.0,15.6,23.5
02/10/2011,0.0,17.0,27.5
02/10/2012,0.0,15.7,32.5
02/10/2013,20.0,16.4,24.6
02/10/2014,1.4,14.5,19.7
02/10/2015,0.0,19.3,32.7
02/10/2016,0.0,14.7,23.8
02/10/2017,0.0,16.7,23.0
02/10/2018,3.2,17.8,30.9
02/11/2000,0.0,17.7,31.2
02/11/2001,0.0,15.5,21.8
02/11/2002,0.0,17.1,27.0
02/11/2003,1.6,12.9,20.6
02/11/2004,0.0,18.2,28.6
02/11/2005,0.0,14.7,20.7
02/11/2006,23.2,19.4,26.3
02/11/2007,12.8,19.0,30.1
02/11/2008,0.0,17.3,28.0
02/11/2009,0.0,19.1,31.7
02/11/2010,0.0,16.1,26.7
02/11/2011,0.0,10.8,20.3
02/11/2012,0.0,17.0,23.6
02/11/2013,0.0,16.7,30.4
02/11/2014,8.2,19.9,29.9
02/11/2015,39.6,18.3,27.2
02/11/2016,0.0,20.8,31.7
02/11/2017,0.0,14.4,25.8
02/11/2018,0.0,18.2,27.2
02/12/2000,0.0,15.1,25.8
02/12/2001,0.0,15.5,25.8
02/12/2002,3.3,20.5,27.5
02/12/2003,0.2,20.5,31.3
02/12/2004,0.0,17.1,24.9
02/12/2005,72.4,15.7,22.2
02/12/2006,0.0,17.3,28.8
02/12/2007,0.0,15.4,31.2
02/12/2008,4.4,19.0,31.0
02/12/2009,0.0,21.3,31.2
02/12/2010,0.0,20.5,29.6
02/12/2011,5.2,14.3,20.7
02/12/2012,13.0,19.8,31.3
02/12/2013,0.0,20.0,30.8
02/12/2014,1.0,19.5,29.7
02/12/2015,0.0,18.2,29.4
02/12/2016,0.0,16.6,28.8
02/12/2017,0.0,18.2,25.4
02/12/2018,30.6,19.0,26.7
03/01/2000,14.8,17.3,23.7
03/01/2001,0.0,18.3,26.8
03/01/2002,0.0,20.1,29.1
03/01/2003,2.1,21.0,28.7
03/01/2004,5.2,15.7,24.3
03/01/2005,0.0,19.3,30.6
03/01/2006,92.2,19.0,29.1
03/01/2007,2.7,20.2,27.3
03/01/2008,10.9,19.7,30.9
03/01/2009,18.1,18.9,25.8
03/01/2010,30.4,20.5,31.4
03/01/2011,61.7,18.5,21.9
